Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.965,67.03,67.595,67.999,68.434,68.576,68.858,68.973,69.29,69.353,69.879,70.281,70.699,71.097,71.502,71.615,72.02,72.096,72.303,72.732,72.864,73.056,73.407,73.412,73.683,73.91,74.154,74.312,74.307,74.871,75.231,75.279,74.783,75.428,75.577,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,..
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,63.3,59.8,55.6,51.2,46.8,42.8,39.4,36.5,34.1,32.1,30.6,29.6,29.1,29,28.9,28.8,28.4,27.6,26.6,25.4,24.2,23.1,21.9,20.9,20.1,19.4,18.8,18.3,17.8,17.3,16.7,16.2,15.8,15.4,14.9,14.4,13.9,13.3,12.7,12.2,11.7,11.4,11,10.7,10.5,10.3,10,9.8,9.6,..
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,73.076,74.913,76.634,77.695,78.328,77.928,76.742,74.387,72.277,71.778,71.071,71.02,70.274,70.327,69.54,70.303,70.591,69.884,70.028,70.492,70.296,69.91,69.863,68.56,67.391,65.808,63.491,62.126,60.002,61.681,63.546,64.156,64.562,66.357,65.923,65.927,66.764,64.852,66.104,66.613,63.879,58.79,55.022,49.926,41.751,31.492,28.54,25.767,26.414,..
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,..,..
Argentina,ARG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,..,..,..,..,..,44,49,58,61,62,66,67,75,80,80,87,80,81,81,82,85,83,88,84,86,83,83,93,96,98,98,91,91,93,94,94,91,91,94,94,94,92,86,86,83,74,81,84,66,..
Argentina,ARG,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66,73,81,88,84,85,90,94,94,91,91,94,94,94,92,86,86,83,74,81,84,66,..
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,61,77,67,67,79,54,87,80,87,89,93,99,92,95,96,99,99,93,95,97,91,89,95,97,99,98,97,94,96,96,95,95,94,94,95,89,90,89,94,86,77,86,85,80,..
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.22001076,8.37179852,7.3933115,6.89451647,7.22868252,7.61078882,7.64032793,7.83455086,8.1826973,9.45599556,9.44546413,9.41819859,9.82726669,9.78097916,9.67129993,10.22933674,9.85558891,10.23174763,10.29146862,10.1555109,10.45030594,10.03832245,9.86305332,..,..
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,702.2330933,668.7930908,221.8025513,259.9902039,309.0441589,389.3466797,451.9761658,567.2874756,740.1410523,778.515564,975.6599121,1196.514648,1355.228516,1408.756348,1274.661255,1517.337891,1251.656128,1486.928711,1209.535767,1011.080139,891.9962158,1080.88208,1370.884644,..,..
Argentina,ARG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.51613718,70.36948015,70.15413845,70.26561738,70.64411673,70.78149421,71.7310057,72.138971,72.43516298,72.37993203,71.81174408,71.66348994,73.67229189,74.38305551,74.7486977,75.64769567,76.35677527,76.31718157,75.95651289,76.4427703,76.90029921,77.00483668,76.45256547,76.34652224,75.65316881,75.21634596,74.6600023,74.47116581,73.49282638,73.00002011,72.41106146,73.28964387,74.24670806,..
Argentina,ARG,Urban population,SP.URB.TOTL,20950006,21384842,21830061,22286083,22748749,23217972,23714178,24226673,24745738,25270448,25797503,26327296,26861787,27405306,27950836,28492393,29019351,29495987,29969692,30446027,30919132,31382118,31836802,32284187,32729606,33173290,33609880,34040070,34461202,34879982,35307267,35739148,36161548,36595981,37051655,37510366,37970728,38418182,38856064,39314105,39782770,40224540,40634617,41024440,41371540,41626771,41791064,41932837,42106172,..
